Date2,Date,Open,High,Low,Close*,Adj Close**,Volume
2021-06-25,"Jun 25, 2021",133.46,133.89,132.81,133.11,133.11,70649973
2021-06-24,"Jun 24, 2021",134.45,134.64,132.93,133.41,133.41,68619000
2021-06-23,"Jun 23, 2021",133.77,134.32,133.23,133.70,133.7,60214200
2021-06-22,"Jun 22, 2021",132.13,134.08,131.62,133.98,133.98,74783600
2021-06-21,"Jun 21, 2021",130.30,132.41,129.21,132.30,132.3,79663300
2021-06-18,"Jun 18, 2021",130.71,131.51,130.24,130.46,130.46,108787300
2021-06-17,"Jun 17, 2021",129.80,132.55,129.65,131.79,131.79,96721700
2021-06-16,"Jun 16, 2021",130.37,130.89,128.46,130.15,130.15,91815000
2021-06-15,"Jun 15, 2021",129.94,130.60,129.39,129.64,129.64,62746300
2021-06-14,"Jun 14, 2021",127.82,130.54,127.07,130.48,130.48,96906500
2021-06-11,"Jun 11, 2021",126.53,127.44,126.10,127.35,127.35,53522400
2021-06-10,"Jun 10, 2021",127.02,128.19,125.94,126.11,126.11,71186400
2021-06-09,"Jun 09, 2021",127.21,127.75,126.52,127.13,127.13,56877900
2021-06-08,"Jun 08, 2021",126.60,128.46,126.21,126.74,126.74,74403800
2021-06-07,"Jun 07, 2021",126.17,126.32,124.83,125.90,125.9,71057600
2021-06-04,"Jun 04, 2021",124.07,126.16,123.85,125.89,125.89,75169300
2021-06-03,"Jun 03, 2021",124.68,124.85,123.13,123.54,123.54,76229200
2021-06-02,"Jun 02, 2021",124.28,125.24,124.05,125.06,125.06,59278900
2021-06-01,"Jun 01, 2021",125.08,125.35,123.94,124.28,124.28,67637100
2021-05-28,"May 28, 2021",125.57,125.80,124.55,124.61,124.61,71311100
2021-05-27,"May 27, 2021",126.44,127.64,125.08,125.28,125.28,94625600
2021-05-26,"May 26, 2021",126.96,127.39,126.42,126.85,126.85,56575900
2021-05-25,"May 25, 2021",127.82,128.32,126.32,126.90,126.9,72009500
2021-05-24,"May 24, 2021",126.01,127.94,125.94,127.10,127.1,63092900
2021-05-21,"May 21, 2021",127.82,128.00,125.21,125.43,125.43,79295400
2021-05-20,"May 20, 2021",125.23,127.72,125.10,127.31,127.31,76857100
2021-05-19,"May 19, 2021",123.16,124.92,122.86,124.69,124.69,92612000
2021-05-18,"May 18, 2021",126.56,126.99,124.78,124.85,124.85,63342900
2021-05-17,"May 17, 2021",126.82,126.93,125.17,126.27,126.27,74244600
2021-05-14,"May 14, 2021",126.25,127.89,125.85,127.45,127.45,81918000
2021-05-13,"May 13, 2021",124.58,126.15,124.26,124.97,124.97,105861300
2021-05-12,"May 12, 2021",123.40,124.64,122.25,122.77,122.77,112172300
2021-05-11,"May 11, 2021",123.50,126.27,122.77,125.91,125.91,126142800
2021-05-10,"May 10, 2021",129.41,129.54,126.81,126.85,126.85,88071200
2021-05-07,"May 07, 2021",130.85,131.26,129.48,130.21,130.21,78973300
2021-05-06,"May 06, 2021",127.89,129.75,127.13,129.74,129.52,78128300
2021-05-05,"May 05, 2021",129.20,130.45,127.97,128.10,127.88,84000900
2021-05-04,"May 04, 2021",131.19,131.49,126.70,127.85,127.63,137564700
2021-05-03,"May 03, 2021",132.04,134.07,131.83,132.54,132.32,75135100
2021-04-30,"Apr 30, 2021",131.78,133.56,131.07,131.46,131.24,109839500
2021-04-29,"Apr 29, 2021",136.47,137.07,132.45,133.48,133.25,151101000
2021-04-28,"Apr 28, 2021",134.31,135.02,133.08,133.58,133.35,107760100
2021-04-27,"Apr 27, 2021",135.01,135.41,134.11,134.39,134.16,66015800
2021-04-26,"Apr 26, 2021",134.83,135.06,133.56,134.72,134.49,66905100
2021-04-23,"Apr 23, 2021",132.16,135.12,132.16,134.32,134.09,78657500
2021-04-22,"Apr 22, 2021",133.04,134.15,131.41,131.94,131.72,84566500
2021-04-21,"Apr 21, 2021",132.36,133.75,131.30,133.50,133.27,68847100
2021-04-20,"Apr 20, 2021",135.02,135.53,131.81,133.11,132.88,94812300
2021-04-19,"Apr 19, 2021",133.51,135.47,133.34,134.84,134.61,94264200
2021-04-16,"Apr 16, 2021",134.30,134.67,133.28,134.16,133.93,84922400
2021-04-15,"Apr 15, 2021",133.82,135.00,133.64,134.50,134.27,89347100
2021-04-14,"Apr 14, 2021",134.94,135.00,131.66,132.03,131.81,87222800
2021-04-13,"Apr 13, 2021",132.44,134.66,131.93,134.43,134.2,91266500
2021-04-12,"Apr 12, 2021",132.52,132.85,130.63,131.24,131.02,91420000
2021-04-09,"Apr 09, 2021",129.80,133.04,129.47,133.00,132.77,106686700
2021-04-08,"Apr 08, 2021",128.95,130.39,128.52,130.36,130.14,88844600
2021-04-07,"Apr 07, 2021",125.83,127.92,125.14,127.90,127.68,83466700
2021-04-06,"Apr 06, 2021",126.50,127.13,125.65,126.21,126.0,80171300
2021-04-05,"Apr 05, 2021",123.87,126.16,123.07,125.90,125.69,88651200
2021-04-01,"Apr 01, 2021",123.66,124.18,122.49,123.00,122.79,75089100
2021-03-31,"Mar 31, 2021",121.65,123.52,121.15,122.15,121.94,118323800
2021-03-30,"Mar 30, 2021",120.11,120.40,118.86,119.90,119.7,85671900
2021-03-29,"Mar 29, 2021",121.65,122.58,120.73,121.39,121.18,80819200
2021-03-26,"Mar 26, 2021",120.35,121.48,118.92,121.21,121.0,94071200
2021-03-25,"Mar 25, 2021",119.54,121.66,119.00,120.59,120.39,98844700
2021-03-24,"Mar 24, 2021",122.82,122.90,120.07,120.09,119.89,88530500
2021-03-23,"Mar 23, 2021",123.33,124.24,122.14,122.54,122.33,95467100
2021-03-22,"Mar 22, 2021",120.33,123.87,120.26,123.39,123.18,111912300
2021-03-19,"Mar 19, 2021",119.90,121.43,119.68,119.99,119.79,185549500
2021-03-18,"Mar 18, 2021",122.88,123.18,120.32,120.53,120.33,121229700
2021-03-17,"Mar 17, 2021",124.05,125.86,122.34,124.76,124.55,111932600
2021-03-16,"Mar 16, 2021",125.70,127.22,124.72,125.57,125.36,115227900
2021-03-15,"Mar 15, 2021",121.41,124.00,120.42,123.99,123.78,92403800
2021-03-12,"Mar 12, 2021",120.40,121.17,119.16,121.03,120.82,88105100
2021-03-11,"Mar 11, 2021",122.54,123.21,121.26,121.96,121.75,103026500
2021-03-10,"Mar 10, 2021",121.69,122.17,119.45,119.98,119.78,111943300
2021-03-09,"Mar 09, 2021",119.03,122.06,118.79,121.09,120.88,129525800
2021-03-08,"Mar 08, 2021",120.93,121.00,116.21,116.36,116.16,154376600
2021-03-05,"Mar 05, 2021",120.98,121.94,117.57,121.42,121.21,153766600
2021-03-04,"Mar 04, 2021",121.75,123.60,118.62,120.13,119.93,178155000
2021-03-03,"Mar 03, 2021",124.81,125.71,121.84,122.06,121.85,112966300
2021-03-02,"Mar 02, 2021",128.41,128.72,125.01,125.12,124.91,102260900
2021-03-01,"Mar 01, 2021",123.75,127.93,122.79,127.79,127.57,116307900
2021-02-26,"Feb 26, 2021",122.59,124.85,121.20,121.26,121.05,164560400
2021-02-25,"Feb 25, 2021",124.68,126.46,120.54,120.99,120.78,148199500
2021-02-24,"Feb 24, 2021",124.94,125.56,122.23,125.35,125.14,111039900
2021-02-23,"Feb 23, 2021",123.76,126.71,118.39,125.86,125.65,158273000
2021-02-22,"Feb 22, 2021",128.01,129.72,125.60,126.00,125.79,103916400
2021-02-19,"Feb 19, 2021",130.24,130.71,128.80,129.87,129.65,87668800
2021-02-18,"Feb 18, 2021",129.20,130.00,127.41,129.71,129.49,96856700
2021-02-17,"Feb 17, 2021",131.25,132.22,129.47,130.84,130.62,97918500
2021-02-16,"Feb 16, 2021",135.49,136.01,132.79,133.19,132.96,80576300
2021-02-12,"Feb 12, 2021",134.35,135.53,133.69,135.37,135.14,60145100
2021-02-11,"Feb 11, 2021",135.90,136.39,133.77,135.13,134.9,64280000
2021-02-10,"Feb 10, 2021",136.48,136.99,134.40,135.39,135.16,73046600
2021-02-09,"Feb 09, 2021",136.62,137.88,135.85,136.01,135.78,76774200
2021-02-08,"Feb 08, 2021",136.03,136.96,134.92,136.91,136.68,71297200
2021-02-05,"Feb 05, 2021",137.35,137.42,135.86,136.76,136.53,75693800
